Wall time,Step,Value
1544262909.7644463,1,5.704113960266113
1544269893.1678393,2,5.599896430969238
1544276878.4673257,3,5.497839450836182
1544283861.4047031,4,5.404329299926758
1544290850.588722,5,5.288738250732422
1544297844.05921,6,5.131170749664307
1544304830.9957948,7,4.990169525146484
1544311832.8545382,8,4.813368797302246
1544318878.7053287,9,4.952009677886963
1544325869.5257351,10,4.622403621673584
1544332874.0508816,11,4.922664642333984
1544339874.1704473,12,5.477073669433594
1544346876.0844498,13,4.370731830596924
1544353874.5556138,14,4.605841636657715
1544360870.5794847,15,4.785229682922363
1544367858.3378603,16,4.354588985443115
1544374850.5308018,17,4.4188923835754395
1544381834.5030177,18,4.056545257568359
1544388815.61292,19,3.8040354251861572
1544395797.2629824,20,4.030920505523682
1544402783.3044953,21,4.4647650718688965
