Wall time,Step,Value
1544260249.0818338,1,5.768119812011719
1544267241.4984074,2,5.645754814147949
1544274225.0512815,3,5.542486190795898
1544281207.6980772,4,5.445155620574951
1544288191.896391,5,5.334702968597412
1544295183.231737,6,5.195122718811035
1544302177.8997235,7,5.0317254066467285
1544309170.7349198,8,4.875054836273193
1544316168.1861129,9,4.743379592895508
1544323210.597706,10,4.630293846130371
1544330202.6897762,11,4.528110980987549
1544337208.6122074,12,4.430220127105713
1544344210.982985,13,4.335766315460205
1544351210.86605,14,4.244848728179932
1544358206.1268215,15,4.155653953552246
1544365203.0688818,16,4.06892728805542
1544372189.7860467,17,3.981924533843994
1544379179.8624935,18,3.8964741230010986
1544386164.3241382,19,3.8084969520568848
1544393144.7260256,20,3.721465826034546
1544400127.0754302,21,3.6332826614379883
