Wall time,Step,Value
1544260213.3160532,1,5.2734785079956055
1544267171.466716,2,4.218106269836426
1544274116.2393,3,3.4769954681396484
1544281057.5767229,4,2.9176530838012695
1544287996.8713744,5,2.4998579025268555
1544294936.2853417,6,2.1775479316711426
1544301876.9903183,7,1.9295405149459839
1544308822.995246,8,1.7372773885726929
1544315753.074329,9,1.5855059623718262
1544322714.4670367,10,1.4659080505371094
1544329646.1405234,11,1.365751028060913
1544336589.6411884,12,1.2830899953842163
1544343525.6116362,13,1.209879994392395
1544350462.397944,14,1.1485658884048462
1544357390.0319877,15,1.0939773321151733
1544364326.0626068,16,1.04330313205719
1544371260.1127713,17,1.0000108480453491
1544378192.9001322,18,0.9564667344093323
1544385121.02636,19,0.9177622199058533
1544392046.3933005,20,0.8831830024719238
1544398972.671281,21,0.8481767177581787
1544405895.2602751,22,0.8149138689041138
