Wall time,Step,Value
1544248586.3327556,1,3.327272653579712
1544255518.8924747,2,1.5882817506790161
1544262461.8915153,3,1.2134320735931396
1544269400.730244,4,1.0420573949813843
1544276355.7689645,5,0.9304143190383911
1544283287.9958293,6,0.8508734107017517
1544290218.9315612,7,0.7896241545677185
1544297154.3715594,8,0.7389755845069885
1544304113.6738424,9,0.6917897462844849
1544311070.9459386,10,0.6494408249855042
1544318063.6838226,11,0.6143961548805237
1544325234.574983,12,0.5800582766532898
1544332228.766775,13,0.5480193495750427
1544339205.210394,14,0.5169488787651062
1544346190.529929,15,0.48912832140922546
1544353184.056926,16,0.4612462818622589
1544360175.6029093,17,0.4341486692428589
1544367130.625081,18,0.4117998778820038
1544374096.181928,19,0.3885352909564972
1544381034.4904025,20,0.36576539278030396
1544388027.1599698,21,0.34790000319480896
1544394995.5409849,22,0.32898128032684326
1544401942.712286,23,0.31128138303756714
