Wall time,Step,Value
1544260213.3234186,1,0.05194692313671112
1544267171.4668527,2,0.18641828000545502
1544274116.2394922,3,0.3204761743545532
1544281057.576852,4,0.42408087849617004
1544287996.8715465,5,0.5031994581222534
1544294936.2854788,6,0.56754469871521
1544301876.99045,7,0.6163926720619202
1544308822.9953823,8,0.6536367535591125
1544315753.0744638,9,0.6831532716751099
1544322714.4672222,10,0.707578182220459
1544329646.140718,11,0.7272195219993591
1544336589.641338,12,0.7435517907142639
1544343525.611792,13,0.7582368850708008
1544350462.3981283,14,0.7709776759147644
1544357390.032131,15,0.7808865308761597
1544364326.0627809,16,0.7915311455726624
1544371260.1129029,17,0.8003208637237549
1544378192.9002867,18,0.8091038465499878
1544385121.026506,19,0.8169060945510864
1544392046.3934362,20,0.8239052891731262
1544398972.6714237,21,0.8312371373176575
1544405895.260411,22,0.8381303548812866
