Wall time,Step,Value
1544248586.3825197,1,0.34808579087257385
1544255518.8926039,2,0.6749314069747925
1544262461.8916483,3,0.7529314160346985
1544269400.7303774,4,0.7882049083709717
1544276355.7691193,5,0.8104913234710693
1544283287.9959564,6,0.8273645043373108
1544290218.9316893,7,0.83998703956604
1544297154.3717325,8,0.8501550555229187
1544304113.6740317,9,0.8605117201805115
1544311070.9460905,10,0.8690196871757507
1544318063.6839828,11,0.8764721751213074
1544325234.5751338,12,0.883912980556488
1544332228.7669396,13,0.8904730081558228
1544339205.2105486,14,0.8972112536430359
1544346190.530164,15,0.902938723564148
1544353184.0571232,16,0.9090490937232971
1544360175.6030438,17,0.9152041673660278
1544367130.6252296,18,0.9195950627326965
1544374096.1820693,19,0.9243338704109192
1544381034.4905603,20,0.9295842051506042
1544388027.1602066,21,0.9329955577850342
1544394995.541163,22,0.9373717308044434
1544401942.7124395,23,0.941238284111023
