Wall time,Step,Value
1544260213.3234186,1,0.0316709503531456
1544267171.4668527,2,0.13012397289276123
1544274116.2394922,3,0.24264276027679443
1544281057.576852,4,0.33586567640304565
1544287996.8715465,5,0.40891432762145996
1544294936.2854788,6,0.4725208580493927
1544301876.99045,7,0.5227305293083191
1544308822.9953823,8,0.5607635974884033
1544315753.0744638,9,0.5928131341934204
1544322714.4672222,10,0.6188496947288513
1544329646.140718,11,0.6401413083076477
1544336589.641338,12,0.6581176519393921
1544343525.611792,13,0.6746018528938293
1544350462.3981283,14,0.6885867714881897
1544357390.032131,15,0.7001017928123474
1544364326.0627809,16,0.7122269868850708
1544371260.1129029,17,0.7224629521369934
1544378192.9002867,18,0.7326769232749939
1544385121.026506,19,0.742339551448822
1544392046.3934362,20,0.7505834698677063
1544398972.6714237,21,0.759547770023346
1544405895.260411,22,0.7680232524871826
