Wall time,Step,Value
1544260249.087656,1,0.006376824341714382
1544267241.4985554,2,0.013657798059284687
1544274225.0514116,3,0.02008240297436714
1544281207.6982627,4,0.028168288990855217
1544288191.896525,5,0.035996899008750916
1544295183.2318864,6,0.04324479401111603
1544302177.8998501,7,0.052359793335199356
1544309170.7350483,8,0.0624598003923893
1544316168.186241,9,0.07410715520381927
1544323210.5978389,10,0.08617350459098816
1544330202.6899464,11,0.09898962825536728
1544337208.6123416,12,0.11122504621744156
1544344210.983212,13,0.12479831278324127
1544351210.8662689,14,0.13801874220371246
1544358206.1269727,15,0.15077973902225494
1544365203.069067,16,0.16349662840366364
1544372189.7862062,17,0.17753666639328003
1544379179.862626,18,0.19079752266407013
1544386164.3243203,19,0.20358425378799438
1544393144.7262456,20,0.21673484146595
1544400127.0755754,21,0.22966858744621277
