Wall time,Step,Value
1544260249.087656,1,0.010892056860029697
1544267241.4985554,2,0.02556977979838848
1544274225.0514116,3,0.03610777109861374
1544281207.6982627,4,0.04749417304992676
1544288191.896525,5,0.059732649475336075
1544295183.2318864,6,0.07083237171173096
1544302177.8998501,7,0.08375141024589539
1544309170.7350483,8,0.09686341136693954
1544316168.186241,9,0.11234665662050247
1544323210.5978389,10,0.12853741645812988
1544330202.6899464,11,0.1446124166250229
1544337208.6123416,12,0.16082461178302765
1544344210.983212,13,0.17809288203716278
1544351210.8662689,14,0.193984717130661
1544358206.1269727,15,0.20953963696956635
1544365203.069067,16,0.2256697565317154
1544372189.7862062,17,0.2418942004442215
1544379179.862626,18,0.25788405537605286
1544386164.3243203,19,0.27355045080184937
1544393144.7262456,20,0.2891850173473358
1544400127.0755754,21,0.30456656217575073
